datasetTitle,siteName,parentSiteName,latitude_Degree,longitude_Degree,plotArea_SquareMetre,plotWidth_Metre,plotLength_Metre,plotShape,siteVisitName,siteVisitStartDate,siteVisitEndDate,featureType,featureId,scientificName,stratumType,mostDominantSpecies,mostDominantSpeciesResultTime,mostDominantSpeciesMethod,secondMostDominantSpecies,secondMostDominantSpeciesResultTime,secondMostDominantSpeciesMethod,thirdMostDominantSpecies,thirdMostDominantSpeciesResultTime,thirdMostDominantSpeciesMethod
TERN Surveillance Monitoring,WAACOO0020,NA,-30.192,120.655,10000.0,100.0,100.0,square,20131030,2013-10-30T00:00:00,2013-10-30T00:00:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53450-stratum-mid,N/A,Mid stratum,Eucalyptus salmonophloia,2013-10-30T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Maireana sedifolia,2013-10-30T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0020,NA,-30.192,120.655,10000.0,100.0,100.0,square,20131030,2013-10-30T00:00:00,2013-10-30T00:00:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53450-stratum-upper,N/A,Upper stratum,Eucalyptus salmonophloia,2013-10-30T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Eucalyptus salubris,2013-10-30T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0024,NA,-30.1854,120.644,10000.0,100.0,100.0,square,20131126,2013-11-26T16:09:00,2013-11-26T16:09:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53451-stratum-ground,N/A,Ground stratum,Eremophila granitica,2013-11-26T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0024,NA,-30.1854,120.644,10000.0,100.0,100.0,square,20131126,2013-11-26T16:09:00,2013-11-26T16:09:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53451-stratum-mid,N/A,Mid stratum,Eremophila granitica,2013-11-26T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0024,NA,-30.1854,120.644,10000.0,100.0,100.0,square,20131126,2013-11-26T16:09:00,2013-11-26T16:09:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53451-stratum-upper,N/A,Upper stratum,Acacia incurvaneura,2013-11-26T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0025,NA,-30.1951,120.599,10000.0,100.0,100.0,square,20131129,2013-11-29T16:10:00,2013-11-29T16:10:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53452-stratum-ground,N/A,Ground stratum,Enneapogon caerulescens,2013-11-29T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Atriplex vesicaria,2013-11-29T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Atriplex nummularia subsp. spathulata,2013-11-29T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0025,NA,-30.1951,120.599,10000.0,100.0,100.0,square,20131129,2013-11-29T16:10:00,2013-11-29T16:10:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53452-stratum-mid,N/A,Mid stratum,Maireana sedifolia,2013-11-29T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Atriplex vesicaria,2013-11-29T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Atriplex nummularia subsp. spathulata,2013-11-29T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0022,NA,-30.1953,120.633,10000.0,100.0,100.0,square,20131101,2013-11-01T16:06:00,2013-11-01T16:06:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53453-stratum-ground,N/A,Ground stratum,Eucalyptus clelandii,2013-11-01T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Eucalyptus celastroides subsp. celastroides,2013-11-01T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0022,NA,-30.1953,120.633,10000.0,100.0,100.0,square,20131101,2013-11-01T16:06:00,2013-11-01T16:06:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53453-stratum-mid,N/A,Mid stratum,Eucalyptus clelandii,2013-11-01T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Eucalyptus celastroides subsp. celastroides,2013-11-01T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0022,NA,-30.1953,120.633,10000.0,100.0,100.0,square,20131101,2013-11-01T16:06:00,2013-11-01T16:06:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53453-stratum-upper,N/A,Upper stratum,Eucalyptus clelandii,2013-11-01T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Eucalyptus celastroides subsp. celastroides,2013-11-01T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA
