"record_id","area","line","number_replicates","tag","x_coordinate","y_coordinate","species_code","species","family","map","dead","height_map","height_1980","height_1986","height_1992","height_1998","height_2006","height_2013","girth_map","girth_1978","girth_1986","girth_1992","girth_1996","girth_2006","girth_2013","index_1","index_2","index_3","index_4","absx","absy","comment"
40994,"2","7",1,22370,1214.2,3.7,100,"Wilkiea huegeliana","Monimiaceae",2015,2017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585.8,706.8,"Fallen tree in 2017"
40995,"2","7",1,NA,1225.2,4.3,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574.8,707.5,""
40996,"2","7",1,22371,1227.7,1,90,"Sarcopteryx stipata","Sapindaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.3,704.2,""
40997,"2","7",1,22499,1231.1,-1.7,97,"Synoum glandulosum","Meliaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568.9,701.5,""
40998,"2","7",1,22500,1231.6,-2.3,0,NA,NA,2015,2017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568.4,700.9,"elongate cots"
40999,"2","7",1,22501,1233.6,-1,0,NA,NA,2015,2017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.4,702.3,"elongate cots"
41000,"2","7",1,22505,1234.6,-5.5,0,NA,NA,2015,2017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565.4,697.8,"elongate cots"
41001,"2","7",1,22504,1234.7,-0.3,0,NA,NA,2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565.3,703,"elongate cots"
41002,"2","7",1,22502,1234.9,-1.3,0,NA,NA,2015,2017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565.1,702,"elongate cots"
41003,"2","7",1,22506,1235.3,-5.4,0,NA,NA,2015,2017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564.7,697.9,"elongate cots"
41004,"2","7",1,22503,1235.8,-2,0,NA,NA,2015,2017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564.2,701.3,"elongate cots"
41005,"2","7",1,NA,1240.2,3.1,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559.8,706.4,""
41006,"2","7",1,22508,1240.2,-6,0,NA,NA,2015,2017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559.8,697.3,"elongate cots"
41007,"2","7",1,22507,1240.4,-2.4,17,"Baloghia inophylla","Euphorbiaceae",2015,2017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559.6,700.9,""
41008,"2","7",1,22372,1241.8,4.2,0,NA,NA,2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558.2,707.5,"elongate cots"
41009,"2","7",1,22509,1243.5,-1.9,0,NA,NA,2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556.5,701.4,"elongate cots"
41010,"2","7",1,NA,1244.3,2.6,0,NA,NA,2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555.7,705.9,"elongate cots"
41011,"2","7",1,NA,1245.4,5,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,554.6,708.3,""
41012,"2","7",1,NA,1246.1,1.8,0,NA,NA,2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553.9,705.1,"elongate cots"
41013,"2","7",1,22373,1253.6,5.8,97,"Synoum glandulosum","Meliaceae",2015,2017,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,546.4,709.2,""
41014,"2","7",1,22374,1256.6,0.4,97,"Synoum glandulosum","Meliaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543.4,703.8,""
41015,"2","7",1,22510,1263.5,-3.2,97,"Synoum glandulosum","Meliaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536.5,700.3,""
41016,"2","7",1,22512,1279.9,4.3,97,"Synoum glandulosum","Meliaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520.1,707.9,""
41018,"2","7",1,22511,1287.8,2.2,97,"Synoum glandulosum","Meliaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512.2,705.9,""
41019,"2","7",1,22375,1309.6,2.2,97,"Synoum glandulosum","Meliaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490.4,706,""
41020,"2","7",1,NA,1312.8,2.9,97,"Synoum glandulosum","Meliaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,487.2,706.7,""
41021,"2","7",1,NA,1314.9,1.1,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,485.1,705,""
41022,"2","7",4,NA,1315.2,0.4,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484.8,704.3,""
41026,"2","7",1,22377,1355.7,0.6,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444.3,704.8,""
41027,"2","7",1,22378,1362.5,4.6,71,"Orites excelsus","Proteaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437.5,708.8,""
41028,"2","7",1,NA,1363,-0.1,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437,704.1,""
41029,"2","7",1,NA,1364.3,4.4,0,NA,NA,2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435.7,708.6,"elongate cots"
41030,"2","7",1,22379,1364.4,2.8,77,"Polyscias elegans","Araliaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435.6,707,""
41031,"2","7",1,NA,1365.6,1.5,97,"Synoum glandulosum","Meliaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434.4,705.7,""
41032,"2","7",1,NA,1366.5,0.2,0,NA,NA,2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433.5,704.4,""
