"model","ssp_scenario","threshold_val","sample_id","Damage"
"MPI-ESM1-2-LR","historical",0.5,10,303856681.522122
"ACCESS-CM2","ssp126",0.5,10,275882282.212907
"CNRM-CM6-1-HR","ssp126",0.5,10,262270874.079365
"MPI-ESM1-2-LR","ssp126",0.5,10,353836273.913124
"ACCESS-CM2","ssp245",0.5,10,293875313.074444
"CNRM-CM6-1-HR","ssp245",0.5,10,228653344.66852
"MPI-ESM1-2-LR","ssp245",0.5,10,197240252.82397
"ACCESS-CM2","ssp370",0.5,10,327798091.899739
"CNRM-CM6-1-HR","ssp370",0.5,10,303876365.24149
"MPI-ESM1-2-LR","ssp370",0.5,10,181185032.987436
"ACCESS-CM2","historical",0.2,11,618087866.499962
"CNRM-CM6-1-HR","historical",0.2,11,829492989.276716
"MPI-ESM1-2-LR","historical",0.2,11,669204803.252266
"ACCESS-CM2","ssp126",0.2,11,624781716.32857
"CNRM-CM6-1-HR","ssp126",0.2,11,624791765.822433
"MPI-ESM1-2-LR","ssp126",0.2,11,698745469.327982
"ACCESS-CM2","ssp245",0.2,11,747863236.963386
"CNRM-CM6-1-HR","ssp245",0.2,11,593733910.26453
"MPI-ESM1-2-LR","ssp245",0.2,11,493191485.166331
"ACCESS-CM2","ssp370",0.2,11,536338971.398897
"CNRM-CM6-1-HR","ssp370",0.2,11,610701086.266728
"MPI-ESM1-2-LR","ssp370",0.2,11,445915393.043169
"ACCESS-CM2","historical",0.5,11,369848562.313921
"CNRM-CM6-1-HR","historical",0.5,11,470053669.948858
"MPI-ESM1-2-LR","historical",0.5,11,317804110.852127
"ACCESS-CM2","ssp126",0.5,11,288544427.754441
"CNRM-CM6-1-HR","ssp126",0.5,11,274402608.197654
"MPI-ESM1-2-LR","ssp126",0.5,11,370248315.708986
"ACCESS-CM2","ssp245",0.5,11,307433949.07524
"CNRM-CM6-1-HR","ssp245",0.5,11,239257601.620031
"MPI-ESM1-2-LR","ssp245",0.5,11,206321815.063345
"ACCESS-CM2","ssp370",0.5,11,343024432.064325
"CNRM-CM6-1-HR","ssp370",0.5,11,317999192.366402
"MPI-ESM1-2-LR","ssp370",0.5,11,189568865.072789
"ACCESS-CM2","historical",0.2,12,806393136.455678
"CNRM-CM6-1-HR","historical",0.2,12,1082265018.50641
"MPI-ESM1-2-LR","historical",0.2,12,873014132.858265
"ACCESS-CM2","ssp126",0.2,12,815160215.929139
"CNRM-CM6-1-HR","ssp126",0.2,12,815155328.07501
"MPI-ESM1-2-LR","ssp126",0.2,12,911747787.209295
"ACCESS-CM2","ssp245",0.2,12,975581136.204851
"CNRM-CM6-1-HR","ssp245",0.2,12,774671639.654553
"MPI-ESM1-2-LR","ssp245",0.2,12,643542534.758198
"ACCESS-CM2","ssp370",0.2,12,699826990.10361
"CNRM-CM6-1-HR","ssp370",0.2,12,796820051.906792
"MPI-ESM1-2-LR","ssp370",0.2,12,581754624.748692
"ACCESS-CM2","historical",0.5,12,482551792.431152
"CNRM-CM6-1-HR","historical",0.5,12,613361176.700295
"MPI-ESM1-2-LR","historical",0.5,12,414583877.770658
"ACCESS-CM2","ssp126",0.5,12,376388024.820876
"CNRM-CM6-1-HR","ssp126",0.5,12,357989527.537498
"MPI-ESM1-2-LR","ssp126",0.5,12,483133743.86788
"ACCESS-CM2","ssp245",0.5,12,401040394.561357
"CNRM-CM6-1-HR","ssp245",0.5,12,312166621.02342
"MPI-ESM1-2-LR","ssp245",0.5,12,269145779.628226
"ACCESS-CM2","ssp370",0.5,12,447571704.776817
"CNRM-CM6-1-HR","ssp370",0.5,12,414941906.769299
"MPI-ESM1-2-LR","ssp370",0.5,12,247275964.837002
"ACCESS-CM2","historical",0.2,13,715358649.280445
"CNRM-CM6-1-HR","historical",0.2,13,960121506.994743
"MPI-ESM1-2-LR","historical",0.2,13,774390919.696967
"ACCESS-CM2","ssp126",0.2,13,723173749.244405
"CNRM-CM6-1-HR","ssp126",0.2,13,723158915.24449
"MPI-ESM1-2-LR","ssp126",0.2,13,808932981.352972
"ACCESS-CM2","ssp245",0.2,13,865359832.223662
"CNRM-CM6-1-HR","ssp245",0.2,13,687266763.125516
"MPI-ESM1-2-LR","ssp245",0.2,13,570993829.83007
"ACCESS-CM2","ssp370",0.2,13,620945966.467291
"CNRM-CM6-1-HR","ssp370",0.2,13,706931905.526088
"MPI-ESM1-2-LR","ssp370",0.2,13,516097395.922562
"ACCESS-CM2","historical",0.5,13,428104986.419265
"CNRM-CM6-1-HR","historical",0.5,13,544227736.860526
"MPI-ESM1-2-LR","historical",0.5,13,367761830.806342
"ACCESS-CM2","ssp126",0.5,13,333870110.83618
"CNRM-CM6-1-HR","ssp126",0.5,13,317607609.468643
"MPI-ESM1-2-LR","ssp126",0.5,13,428699368.447148
"ACCESS-CM2","ssp245",0.5,13,355773592.807075
"CNRM-CM6-1-HR","ssp245",0.5,13,276978309.002405
"MPI-ESM1-2-LR","ssp245",0.5,13,238762714.752369
"ACCESS-CM2","ssp370",0.5,13,397136784.493996
"CNRM-CM6-1-HR","ssp370",0.5,13,368193362.672754
"MPI-ESM1-2-LR","ssp370",0.5,13,219368897.846508
"ACCESS-CM2","historical",0.2,14,652060056.035611
"CNRM-CM6-1-HR","historical",0.2,14,875130980.583884
"MPI-ESM1-2-LR","historical",0.2,14,705939037.108006
"ACCESS-CM2","ssp126",0.2,14,659142380.189848
"CNRM-CM6-1-HR","ssp126",0.2,14,659132463.994825
"MPI-ESM1-2-LR","ssp126",0.2,14,737229944.215326
"ACCESS-CM2","ssp245",0.2,14,788861091.594576
"CNRM-CM6-1-HR","ssp245",0.2,14,626401700.441314
"MPI-ESM1-2-LR","ssp245",0.2,14,520356265.142972
"ACCESS-CM2","ssp370",0.2,14,565851759.442918
"CNRM-CM6-1-HR","ssp370",0.2,14,644302822.298759
"MPI-ESM1-2-LR","ssp370",0.2,14,470399784.912794
"ACCESS-CM2","historical",0.5,14,390198628.378724
"CNRM-CM6-1-HR","historical",0.5,14,495950238.310552
"MPI-ESM1-2-LR","historical",0.5,14,335239181.326142
"ACCESS-CM2","ssp126",0.5,14,304349577.83159
"CNRM-CM6-1-HR","ssp126",0.5,14,289451688.723562
"MPI-ESM1-2-LR","ssp126",0.5,14,390642277.218035
"ACCESS-CM2","ssp245",0.5,14,324264459.331185
"CNRM-CM6-1-HR","ssp245",0.5,14,252398683.118827
"MPI-ESM1-2-LR","ssp245",0.5,14,217627090.679424
"ACCESS-CM2","ssp370",0.5,14,361874468.674621
"CNRM-CM6-1-HR","ssp370",0.5,14,335493228.245928
"MPI-ESM1-2-LR","ssp370",0.5,14,199926975.482595
"ACCESS-CM2","historical",0.2,15,644318097.755682
"CNRM-CM6-1-HR","historical",0.2,15,864675359.879295
"MPI-ESM1-2-LR","historical",0.2,15,697681532.169815
"ACCESS-CM2","ssp126",0.2,15,651248779.410035
"CNRM-CM6-1-HR","ssp126",0.2,15,651262370.59774
"MPI-ESM1-2-LR","ssp126",0.2,15,728272868.064874
"ACCESS-CM2","ssp245",0.2,15,779664915.919014
"CNRM-CM6-1-HR","ssp245",0.2,15,618876805.646532
"MPI-ESM1-2-LR","ssp245",0.2,15,513997179.75523
"ACCESS-CM2","ssp370",0.2,15,558921821.688482
"CNRM-CM6-1-HR","ssp370",0.2,15,636537594.120758
"MPI-ESM1-2-LR","ssp370",0.2,15,464790812.466043
"ACCESS-CM2","historical",0.5,15,385510714.859135
"CNRM-CM6-1-HR","historical",0.5,15,489866316.352743
"MPI-ESM1-2-LR","historical",0.5,15,331296059.697163
"ACCESS-CM2","ssp126",0.5,15,300790869.563469
"CNRM-CM6-1-HR","ssp126",0.5,15,285969374.049166
"MPI-ESM1-2-LR","ssp126",0.5,15,385816296.577958
"ACCESS-CM2","ssp245",0.5,15,320416196.43447
"CNRM-CM6-1-HR","ssp245",0.5,15,249316784.871333
"MPI-ESM1-2-LR","ssp245",0.5,15,215047176.271663
"ACCESS-CM2","ssp370",0.5,15,357426588.301476
"CNRM-CM6-1-HR","ssp370",0.5,15,331350508.017057
"MPI-ESM1-2-LR","ssp370",0.5,15,197553220.196947
"ACCESS-CM2","historical",0.2,16,730403400.700063
"CNRM-CM6-1-HR","historical",0.2,16,980271899.018441
"MPI-ESM1-2-LR","historical",0.2,16,790765524.221838
"ACCESS-CM2","ssp126",0.2,16,738329654.906217
"CNRM-CM6-1-HR","ssp126",0.2,16,738316042.216605
"MPI-ESM1-2-LR","ssp126",0.2,16,825785897.153986
"ACCESS-CM2","ssp245",0.2,16,883643825.570807
"CNRM-CM6-1-HR","ssp245",0.2,16,701653440.720257
"MPI-ESM1-2-LR","ssp245",0.2,16,582856266.396147
"ACCESS-CM2","ssp370",0.2,16,633806706.958234
"CNRM-CM6-1-HR","ssp370",0.2,16,721699565.03905
"MPI-ESM1-2-LR","ssp370",0.2,16,526906943.326918
"ACCESS-CM2","historical",0.5,16,437078101.211923
"CNRM-CM6-1-HR","historical",0.5,16,555516698.770679
"MPI-ESM1-2-LR","historical",0.5,16,375518874.77248
"ACCESS-CM2","ssp126",0.5,16,340916209.42066
"CNRM-CM6-1-HR","ssp126",0.5,16,324212460.508558
"MPI-ESM1-2-LR","ssp126",0.5,16,437553844.210775
"ACCESS-CM2","ssp245",0.5,16,363210198.034064
"CNRM-CM6-1-HR","ssp245",0.5,16,282706184.060842
"MPI-ESM1-2-LR","ssp245",0.5,16,243769428.15083
"ACCESS-CM2","ssp370",0.5,16,405323898.706262
"CNRM-CM6-1-HR","ssp370",0.5,16,375775076.057354
